quantity
4.0
21.0
2.0
41.0
5.0
17.0
3.0
5.0
17.0
5.0
9.0
3.0
10.0
2.0
9.0
4.0
2.0
2.0
5.0
7.0
1.0
1.0
4.0
3.0
1.0
3.0
1.0
4.0
6.0
1.0
2.0
21.0
6.0
1.0
8.0
3.0
2.0
2.0
1.0
5.0
2.0
8.0
1.0
3.0
1.0
1.0
3.0
3.0
2.0
5.0
4.0
1.0
6.0
1.0
4.0
4.0
1.0
4.0
1.0
5.0
3.0
1.0
3.0
11.0
2.0
9.0
55.0
24.0
1.0
1.0
1.0
12.0
1.0
2.0
1.0
1.0
1.0
1.0
1.0
2.0
1.0
1.0
2.0
4.0
8.0
9.0
5.0
10.0
7.0
9.0
6.0
4.0
12.0
9.0
14.0
10.0
1.0
1.0
3.0
10.0
9.0
2.0
2.0
3.0
3.0
1.0
5.0
1.0
2.0
1.0
18.0
13.0
3.0
5.0
3.0
1.0
1.006
20.0
10.0
1.0
1.186
0.496
1.0
0.19
0.72
0.875
0.43
1.0
2.0
2.0
1.0
0.204
0.206
0.294
0.866
1.0
0.51
1.0
1.0
1.0
1.0
0.816
6.0
1.0
10.0
1.0
3.0
5.0
1.0
2.0
7.0
6.0
1.0
15.0
3.0
21.0
3.0
4.0
1.0
4.0
3.0
3.0
2.0
1.0
1.0
1.0
28.0
3.0
3.0
18.0
1.0
11.0
9.0
9.0
2.0
14.0
2.0
35.0
15.0
13.0
2.0
1.0
5.0
2.0
7.0
3.0
1.0
4.0
1.0
2.0
1.0
1.0
4.0
1.0
13.0
2.0
1.0
7.0
1.0
2.0
3.0
2.0
2.0
3.0
1.0
3.0
3.0
2.0
1.0
2.0
1.0
2.0
3.0
2.0
1.0
1.0
1.0
2.0
4.0
4.0
6.0
11.0
59.0
17.0
1.0
5.0
1.0
1.0
3.0
3.0
1.0
2.0
6.0
1.0
2.0
2.0
12.0
5.0
7.0
3.0
4.0
7.0
5.0
1.0
1.0
1.0
6.0
0.198
0.574
1.0
1.0
3.0
3.0
1.0
1.0
1.0
2.0
3.0
2.0
1.0
13.0
7.0
3.0
3.0
3.0
15.0
4.0
1.0
0.91
2.0
1.0
0.612
0.494
0.1
2.0
2.0
3.0
0.212
1.014
0.478
3.0
0.182
0.212
0.304
1.0
1.0
1.0
1.0
8.0
1.0
1.0
12.0
1.0
1.0
1.0
1.0
3.0
3.0
4.0
7.0
9.0
21.0
1.0
4.0
4.0
1.0
1.0
3.0
3.0
3.0
16.0
3.0
1.0
1.0
10.0
4.0
6.0
5.0
18.0
2.0
20.0
2.0
16.0
2.0
2.0
12.0
1.0
4.0
6.0
2.0
6.0
3.0
2.0
3.0
3.0
1.0
5.0
3.0
2.0
1.0
5.0
10.0
4.0
1.0
4.0
1.0
3.0
2.0
3.0
4.0
1.0
1.0
7.0
2.0
2.0
1.0
5.0
2.0
2.0
1.0
1.0
1.0
2.0
2.0
7.0
1.0
1.0
1.0
1.0
4.0
2.0
2.0
3.0
7.0
12.0
39.0
12.0
1.0
9.0
1.0
2.0
1.0
1.0
1.0
4.0
5.0
5.0
3.0
5.0
1.0
2.0
2.0
6.0
4.0
7.0
2.0
6.0
6.0
1.0
4.0
12.0
1.0
0.308
2.0
4.0
2.0
2.0
2.0
1.0
1.0
6.0
2.0
1.0
10.0
8.0
5.0
1.0
0.468
3.0
2.0
3.0
1.516
1.0
0.37
0.206
0.416
0.346
1.0
1.0
0.544
0.982
0.326
0.42
1.0
1.0
1.0
1.0
0.562
4.0
2.0
7.0
3.0
4.0
1.0
2.0
1.0
1.0
3.0
6.0
15.0
2.0
22.0
1.0
6.0
2.0
4.0
1.0
1.0
6.0
6.0
18.0
3.0
2.0
9.0
6.0
3.0
1.0
4.0
3.0
8.0
3.0
5.0
2.0
1.0
5.0
2.0
1.0
12.0
4.0
3.0
2.0
1.0
2.0
2.0
1.0
1.0
1.0
2.0
1.0
1.0
6.0
1.0
1.0
1.0
3.0
3.0
2.0
2.0
1.0
1.0
1.0
1.0
4.0
1.0
2.0
6.0
5.0
19.0
8.0
2.0
1.0
1.0
1.0
3.0
1.0
9.0
1.0
6.0
3.0
6.0
2.0
3.0
2.0
3.0
5.0
8.0
1.0
5.0
3.0
0.25
0.598
1.0
1.0
2.0
5.0
6.0
8.0
4.0
1.0
5.0
10.0
1.0
0.278
0.458
0.358
1.0
0.61
2.0
1.18
2.0
1.0
1.0
4.0
2.0
4.0
4.0
4.0
1.0
2.0
2.0
2.0
1.0
4.0
7.0
1.0
1.0
4.0
2.0
5.0
2.0
21.0
3.0
29.0
18.0
1.0
1.0
11.0
2.0
7.0
7.0
5.0
4.0
12.0
1.0
2.0
2.0
4.0
5.0
1.0
1.0
1.0
7.0
1.0
1.0
2.0
23.0
6.0
4.0
5.0
3.0
3.0
1.0
2.0
2.0
1.0
9.0
5.0
2.0
1.0
1.0
3.0
1.0
5.0
3.0
3.0
3.0
3.0
5.0
3.0
1.0
2.0
4.0
1.0
4.0
4.0
2.0
3.0
1.0
8.0
17.0
61.0
17.0
2.0
9.0
3.0
1.0
1.0
2.0
2.0
3.0
3.0
5.0
1.0
2.0
3.0
7.0
9.0
8.0
7.0
1.0
3.0
3.0
9.0
3.0
5.0
1.0
1.0
6.0
3.0
1.0
0.484
0.584
1.0
1.0
1.0
3.0
1.0
1.0
8.0
1.0
1.0
1.0
17.0
8.0
3.0
1.0
1.0
2.0
6.0
13.0
1.0
1.0
2.0
1.528
1.0
0.236
0.36
0.214
2.0
3.0
1.0
0.508
1.11
0.936
0.246
0.52
0.236
1.0
0.276
1.0
1.0
1.226
